TNC	Tnc
SERINC1	Serinc1
DDX24	Ddx24
FAT4	Fat4
FAS	Fas
OLFML2A	Olfml2a
LMBR1	Lmbr1
TOP1	Top1
CLPX	Clpx
GTF2H3	Gtf2h3
STAM2	Stam2
CADM4	Cadm4
RGS16	Rgs16
ABHD4	Abhd4
ALDH3A1	Aldh3a1
SCAMP2	Scamp2
DNAJC12	Dnajc12
IVD	Ivd
IGSF1	Igsf1
PPFIA1	Ppfia1
ARL5B	Arl5b
CNN2	Cnn2
LNX2	Lnx2
APC	Apc
GOLGA7	Golga7
MYH9	Myh9
GSTK1	Gstk1
EXOC6	Exoc6
TNFSF8	Tnfsf8
SPAG7	Spag7
PPP1R10	Ppp1r10
ADAM9	Adam9
ELL2	Ell2
VPS33B	Vps33b
CCPG1	Ccpg1
SCO1	Sco1
YIPF6	Yipf6
SF3B5	Sf3b5
PRPS2	Prps2
FBXO45	Fbxo45
P2RY12	P2ry12
AK4	Ak4
ACAP2	Acap2
NLRP1	Nlrp1b
RRM2B	Rrm2b
MKX	Mkx
SORBS1	Sorbs1
KIF3C	Kif3c
FADS2	Fads2
ZNF483	Zkscan16
VRK2	Vrk2
CHRNB1	Chrnb1
SLC45A4	Slc45a4
FGF1	Fgf1
KCNJ8	Kcnj8
APOL6	Apol6
PMM2	Pmm2
MRPS18B	Mrps18b
DYNLT3	Dynlt3
BRSK1	Brsk1
TMOD2	Tmod2
CYLD	Cyld
ZNF764	Zfp764
SMAD2	Smad2
GLRA4	Glra4
EIF4G2	Eif4g2
RPP30	Rpp30
CNTNAP1	Cntnap1
C21orf59	1110004E09Rik
FARP1	Farp1
C1orf194	1700013F07Rik
WNT16	Wnt16
RND3	Rnd3
SYVN1	Syvn1
CRKL	Crkl
SLC1A3	Slc1a3
IFIH1	Ifih1
FAM118B	Fam118b
USP28	Usp28
ZNHIT6	Znhit6
RNMT	Rnmt
F11R	F11r
ACSBG2	Acsbg2
FNDC3A	Fndc3a
SFT2D2	Sft2d2
HIST1H4C	Hist2h4
RUNDC3A	Rundc3a
GNS	Gns
KLHDC2	Klhdc2
CACUL1	Cacul1
PSMA7	Psma7
MARCH4	March4
REP15	Rep15
NOL10	Nol10
LARP7	Larp7
TOX3	Tox3
LARP4	Larp4
ALDH3A2	Aldh3a2
STAU1	Stau1
PTPMT1	Ptpmt1
GATA1	Gata1
ACTR1A	Actr1a
UFC1	Ufc1
CRTAP	Crtap
PEX7	Pex7
APBB1IP	Apbb1ip
GBP5	Gbp5
MALSU1	Malsu1
TLR7	Tlr7
ESCO1	Esco1
CCDC89	Ccdc89
TUBB1	Tubb1
HNRNPH2	Hnrnph2
UBXN4	Ubxn4
PPP1R12A	Ppp1r12a
DSEL	Dsel
GCLC	Gclc
RAB12	Rab12
STAC2	Stac2
EPS8L3	Eps8l3
TMED7	Tmed7
SMARCB1	Smarcb1
ZMYND11	Zmynd11
NHLRC2	Nhlrc2
PARP2	Parp2
APLF	Aplf
SPTAN1	Sptan1
VAT1	Vat1
CDK17	Cdk17
CNGA4	Cnga4
DDX5	Ddx5
APOO	Apoo
NFKBIA	Nfkbia
NXPE2	Nxpe2
RAB5C	Rab5c
GPR83	Gpr83
NUDT21	Nudt21
SEC63	Sec63
TBC1D23	Tbc1d23
PGRMC1	Pgrmc1
MCM6	Mcm6
MMGT1	Mmgt1
LARS	Lars
GRB2	Grb2
SDCBP	Sdcbp
MRS2	Mrs2
EPHA3	Epha3
TRIM68	Trim68
TFR2	Tfr2
SSSCA1	Sssca1
SLC2A1	Slc2a1
RETSAT	Retsat
CLSTN3	Clstn3
OR4C6	Olfr1230
GNPNAT1	Gnpnat1
ARHGAP5	Arhgap5
MYOF	Myof
SYP	Syp
TSPAN7	Tspan7
RBM8A	Rbm8a
RORB	Rorb
DKK3	Dkk3
NPAT	Npat
TALDO1	Taldo1
TRAM1	Tram1
VCAM1	Vcam1
LPCAT4	Lpcat4
DDX47	Ddx47
GPR27	Gpr27
SEC22C	Sec22c
JUP	Jup
SLU7	Slu7
HIGD2A	Higd2a
FADD	Fadd
LSM1	Lsm1
VAMP5	Vamp5
PCYOX1	Pcyox1
